160 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_abies']
160 :  ['Picea_glauca', 'Picea_rubens', 'Picea_obovata']
159 :  ['Picea_glauca', 'Picea_koyamae', 'Picea_torano']
159 :  ['Picea_rubens', 'Picea_maximowiczii', 'Picea_mariana']
158 :  ['Aegilops_speltoides', 'Aegilops_uniaristata', 'Aegilops_searsii']
158 :  ['Aegilops_speltoides', 'Aegilops_comosa', 'Dasypyrum_villosum']
157 :  ['Picea_glehnii', 'Picea_orientalis']
157 :  ['Picea_glauca', 'Picea_rubens', 'Picea_glehnii']
156 :  ['Hordeum_vulgare', 'Aegilops_speltoides']
156 :  ['Aegilops_speltoides', 'Aegilops_juvenalis']
156 :  ['Aegilops_speltoides', 'Aegilops_ventricosa']
156 :  ['Aegilops_speltoides', 'Aegilops_markgrafii']
156 :  ['Aegilops_speltoides', 'Aegilops_neglecta']
155 :  ['Bromus_inermis', 'Aegilops_speltoides']
155 :  ['Hordeum_bulbosum', 'Aegilops_speltoides']
155 :  ['Aegilops_speltoides', 'Avena_sativa']
154 :  ['Aegilops_tauschii', 'Aegilops_sharonensis', 'Aegilops_searsii']
154 :  ['Picea_sitchensis', 'Picea_rubens', 'Picea_glehnii']
153 :  ['Bromus_rubens', 'Aegilops_speltoides']
153 :  ['Bromus_arvensis', 'Aegilops_speltoides']
153 :  ['Bromus_catharticus', 'Aegilops_speltoides']
153 :  ['Hordeum_erectifolium', 'Aegilops_speltoides']
153 :  ['Triticum_turgidum', 'Aegilops_speltoides']
153 :  ['Aegilops_speltoides', 'Aegilops_longissima', 'Aegilops_searsii']
153 :  ['Aegilops_speltoides', 'Aegilops_peregrina']
153 :  ['Aegilops_speltoides']
153 :  ['Picea_rubens', 'Picea_alcoquiana', 'Picea_pungens']
153 :  ['Picea_rubens', 'Picea_mariana']
152 :  ['Pseudoroegneria_stipifolia', 'Triticum_aestivum', 'Aegilops_speltoides']
152 :  ['Aegilops_speltoides', 'Aegilops_uniaristata']
152 :  ['Picea_sitchensis', 'Picea_engelmannii', 'Picea_rubens']
151 :  ['Aegilops_speltoides', 'Aegilops_uniaristata', 'Aegilops_ventricosa']
